STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.8204167142802727,0.31080959369099115,0.2305986361989688,0.32450745124926905,0.32554383278682303,0.06691882566068373,0.00022702653379448205,0.14007441958533262,0.2116323417858829,0.289818851511151,0.05852837597781034,0.20993860441923523,0.4972572918399514,0.796895939165394,0.14228087549800975,1.8823345055475087,0.693294417300291,0.4060105803571364,1.0,0.5077293137255117,0.0,0.4550445089255691,0.35101037647794
ARUNACHAL PRADESH,1.7536088154269973,0.32847602497524697,0.11610866889396869,0.8855614973262032,1.1356557832709482,0.8127781309599492,0.0,1.0843281297826752,0.4440186223960705,0.3477639584634366,0.0694214876033058,0.7227272727272729,0.3056282144368547,0.24383343928798473,0.49579347372647387,1.1255048888713413,0.10943397268749723,0.44935613380258066,0.04284035834924364,0.07843726521412472,0.0,0.24430187037842538,0.6110239400422072
ASSAM,1.0237429520352206,0.23641522906156998,0.19532299440106882,1.0291368884002199,1.6446773975491433,0.3367585402419727,0.00393853423411175,0.4713566325007843,0.23946941711339043,0.2358911813215313,0.39213717463505066,0.5231636672588245,0.19098262987532974,0.4633594952201579,1.438691553616212,0.49376854177027574,0.47728212387070446,0.3844400828552324,0.0033364765069504396,0.6021418143145185,0.21565645838160705,0.20767359233799335,0.9023788720663625
BIHAR,1.4139404604380663,1.0192986503522063,0.54619714990499,0.2945645989990523,1.0988715005957195,0.36222272823143137,0.016098125188016076,0.34859487421998503,0.11754038511901549,0.23482949865659125,0.4448824805270985,0.35787851091983036,0.23342017390683029,0.1609878792139695,0.1571459164154056,2.0,2.3030442026496294,0.013062845861339312,0.013081716911724923,0.18354575703805653,0.22852694831325793,0.19866146910649013,0.4980193108315306
CHHATTISGARH,1.0626225624870262,0.2977138258196763,0.13380631977011082,0.8823076906501641,0.27623837467066664,0.1152817657451527,0.0032021394438756937,0.3046373968385764,0.3005458284381519,0.1786886127850293,0.10000366313784388,0.09901461591999708,0.1474194827254821,0.5728062735462275,0.18173753313115013,1.243974675265818,0.39289437939490846,0.4759330181378342,0.15380722816987327,0.13104299268627634,0.0,0.332686178980915,1.2039873519299151
GOA,0.7250554323725056,0.2659025853983812,0.23363329716469314,0.7101865136298422,0.22294253925009694,0.16354681903462392,0.0,0.2797281760696395,0.4947722008791794,0.56436396949448,0.20288248337028827,0.564079822616408,0.49439858217726484,2.616749104553983,0.32152564446307774,0.41258426585776914,0.0,0.22042496916599102,0.22987509358130737,0.048563409982478725,0.0,0.40616612206791924,0.7529614225758355
GUJARAT,0.5030558736355648,0.11733534307328654,0.0928540979942237,0.1693518747482547,0.443026072007555,0.21691614846063398,0.006382093931374984,0.4238049655776233,0.17151283539367024,0.24001254821199797,0.08106301058245788,0.3030410156700302,0.0910124105873866,0.9795237923518524,0.021364289231174546,0.4453158030159803,0.042740483795687165,0.09292661510493881,0.03704878939633409,0.3735604240980007,0.0,0.26937417359308075,1.7839890332703612
HARYANA,0.9220571916346564,0.39922838878123146,0.30580733919960773,0.49809444904722455,0.7236343253159396,0.3211045996257264,0.12312000658924306,0.45940034144259495,0.40914162106943824,0.633505185592716,0.1367477592829706,0.3766325224071703,0.2504024368323161,0.18888505860336846,0.05817000811608636,0.2711769532826864,1.0935690650954828,0.13637963384012525,0.36007019499874854,0.3665539965796048,0.0,0.14938506637913604,0.8792574251743658
HIMACHAL PRADESH,0.5231398157734066,0.11569404882927006,0.20138940897592084,0.67895572659262,0.459082547708012,0.007831978485797074,0.0,0.03214969369305597,0.366855270427631,0.088116088028115,0.23604364099705347,0.3469459265748189,0.25847159451121354,0.04699187091478245,0.3632605044260143,0.5434420255774581,0.04218049118479626,0.3231360054278595,0.2807123265888164,0.14593258935060321,0.0,0.28149113725621694,1.6550136118568766
JAMMU & KASHMIR,0.2929345470307759,0.5692009635286672,0.1826937442935008,0.5736441520691502,1.4886481919912296,0.023979068720616187,0.0,0.13288361508452537,0.2779461901167159,0.1399284739239709,0.34135240572171655,0.21063881664499354,0.21640385274495103,0.4076441682504751,0.25110318094880313,0.009556774925223027,0.08609564821318053,0.8719395449038344,0.7309566506866437,0.0893006538325134,0.0,0.09482260796660051,1.735987074106073
