STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.6482420628094118,0.40889943918418464,0.11678057190450272,0.26147781276204596,0.4000659441481736,0.045097952065923735,0.004414099190149823,0.08922197539913455,0.2770340170474688,0.25440052832794924,0.11495307452644456,0.23544848392173354,0.44475301435115083,0.2725118030468108,0.1667811666453899,2.0,0.6405732920430922,0.4261978937651837,0.27862042372937085,0.6433327437327614,0.06218501315697256,0.700848067431533,0.29415562125506467
ARUNACHAL PRADESH,1.4252498786996604,0.37114246633458403,0.181493306607488,0.6835198427454393,1.3950832928998869,0.7219913131419419,0.0,0.6176824251629643,0.6233598597487904,0.3319649763242721,0.026322173702086366,0.45681707908782143,0.09382051092029321,0.4568170790878215,0.10872168977647434,1.540029225956264,0.0,0.3226517380710666,0.0,0.08398219699332055,0.0,0.0,0.4702766107897989
ASSAM,1.189552260019075,0.4856505330685368,0.15669389393084235,1.3215743652329186,1.802258585329668,0.49593257175843053,0.09431982894003574,0.29052744213048604,0.3332568434783656,0.24293873223500795,0.6777065060871842,0.5378943579002489,0.21551995869318663,0.20424139285246762,0.5167740700738882,0.9200345265174512,0.33891573597466146,0.3630918953551166,0.0030050073974413304,0.5852333941799532,0.0,0.7055228836465638,0.25014085841639955
BIHAR,1.55921943636282,1.467453456872823,0.4027226373359265,0.4791334954584679,1.112273067210041,0.5322263006917496,0.18021454719483343,0.5664072790025113,0.14244365401532635,0.15378334519009113,0.6744279938870404,0.40271425165017394,0.1943098740732844,0.13411660145453758,0.18476691679994559,0.6532576129784672,2.1256086515029398,0.06735011669861836,0.002280688237245678,0.2519227945005654,0.7828056750810184,0.36039958780671905,1.1089992436752643
CHHATTISGARH,0.7699365764667853,0.5102945871912031,0.16538742187330116,1.0728098144658555,0.19465135634216754,0.14643713609672898,0.05045208951028567,0.18265641555668888,0.4713084649479784,0.1505297834479436,0.141700694426383,0.06646466748159902,0.09866625805955745,0.08395536945044084,0.07940879365280368,0.6430138859432833,0.443291128641674,0.6588507512440736,0.05224022749726269,0.19325316302103981,0.0,0.38906917617407427,1.6083382278866467
GOA,0.578008658008658,0.4260943756214225,0.3333847637415622,0.626087608269101,0.26379976232917407,0.08960977600240534,0.0,0.1985584747733085,0.579582397452197,0.40153030609564394,0.1623217468805704,0.8990641711229946,0.43495016846432333,0.17981283422459893,0.20918699513652395,0.5888462379592647,0.1922888671353564,0.08658487509023997,0.05967274233637116,0.1322286539367713,0.0,0.9441137232480186,0.7071473889535278
GUJARAT,0.4097764762115976,0.17627880408124952,0.03486574113665143,0.08581537136256462,0.4256506185576951,0.13107156760569746,0.01870457134463715,0.2592102400236112,0.2700572956769868,0.3488442566270095,0.13630446730756252,0.6072725125109681,0.17535055468312685,0.3566469641014762,0.11263479345945673,0.8556554820197809,0.11233738520279798,0.05792094318676343,0.016969622845598404,0.439177783636296,0.0,0.4404525458905303,1.3462099510733267
HARYANA,0.6935744624173092,0.44177507239918634,0.24541926148840162,0.4073204929049613,0.42489208881522145,0.06561852922931756,0.6818164486621202,0.15441020813533976,0.3810077396244973,0.2433142766139641,0.12825675955661453,0.5103141510411272,0.21462321817798052,0.10450119133947997,0.0550755342052189,0.7433596391694687,1.2404454620724934,0.09500416636460061,0.6450442320347027,0.5180759207893032,0.0,0.32486299758865333,1.238358765720244
HIMACHAL PRADESH,0.3970170201125159,0.23563575934790087,0.05190487954347859,0.4704425906509463,0.3978034024366553,0.026786690513615537,0.0,0.03356343641517016,0.28342588280521863,0.006918775560082052,0.39359753559237365,0.176369577886937,0.0996599525469675,0.03359420531179752,0.27425529935043846,0.8053645359457674,0.10777526047416697,0.3217109311485688,0.02866778558286694,0.22748370582153643,0.0,0.4979722466146075,2.0
JAMMU & KASHMIR,1.6691010623624951,2.190336602714036,0.17029582006974914,0.44454935588343747,1.417874691910391,0.04356369574752645,0.0,0.15388679229828875,0.35262520596500624,0.10798690252303467,0.42595252672726414,0.1836999010973485,0.17693155485002793,0.13302406631187305,0.44459026704261473,0.0,0.10160980969522437,0.7100927088235317,0.33874843276206945,0.041341304533474135,0.0,0.22997665613067592,1.548860730456156
JHARKHAND,1.7556185093669179,1.1365911007073997,0.4220340738033265,1.0144763984613931,0.639443012555766,0.8766959899343362,0.15919944995030638,0.5692583326695191,0.2127882405129152,0.2030434563181719,0.5970794646461509,0.2767017048101109,0.13696060699790014,0.020883147532838556,0.09961712563882108,0.6436163316025254,1.7553024419643486,0.17607568202810853,0.0011880493281709948,0.21461133872577887,0.0,0.25753841051958715,1.0786173827778227
