STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,2001,4000,2000,136,871,1182,214,9,629,7220,16751,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,5000
ARUNACHAL PRADESH,2001,83,53,3,33,83,22,2,84,248,443,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
ASSAM,2001,1356,481,40,817,1480,532,14,687,2423,5367,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
BIHAR,2001,3643,3419,250,888,2159,1291,147,2203,3233,9701,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
CHHATTISGARH,2001,880,529,45,959,207,87,19,338,4144,4812,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460
GOA,2001,36,30,5,12,9,7,0,25,359,576,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
GUJARAT,2001,1226,537,94,286,998,327,19,991,5142,15834,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419
HARYANA,2001,781,467,78,398,449,77,141,397,3109,6117,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
HIMACHAL PRADESH,2001,119,75,11,124,126,4,0,28,844,600,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
JAMMU & KASHMIR,2001,1075,1474,33,169,606,24,0,161,1345,1919,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
JHARKHAND,2001,1507,866,143,567,441,636,48,647,1266,3827,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
KARNATAKA,2001,1626,1475,74,293,559,178,36,847,6394,12868,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
KERALA,2001,472,615,111,562,183,176,13,517,4474,5441,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
MADHYA PRADESH,2001,2425,2870,125,2851,956,166,130,1764,13549,20263,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
MAHARASHTRA,2001,2839,1454,101,1302,985,529,328,2239,15073,39866,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233
MANIPUR,2001,209,168,5,20,94,20,17,19,75,217,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
MEGHALAYA,2001,164,47,2,26,55,97,3,125,170,271,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
MIZORAM,2001,31,15,5,52,2,3,0,23,417,878,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
NAGALAND,2001,101,39,9,17,23,11,0,129,163,258,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
ODISHA,2001,987,1151,53,790,522,199,22,958,3093,5622,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661
PUNJAB,2001,738,789,80,298,513,45,84,131,1902,3023,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
RAJASTHAN,2001,1259,1923,63,1049,2718,60,40,889,7284,16939,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
SIKKIM,2001,19,11,7,8,6,0,0,3,76,74,3,1,13,0,1,35,0,0,14,0,0,7,166,444
TAMIL NADU,2001,1662,2204,19,423,952,158,6,672,5965,16709,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
TRIPURA,2001,240,25,0,102,93,26,0,63,198,259,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
UTTAR PRADESH,2001,7601,7964,1186,1958,4330,905,38,3825,8411,27011,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
UTTARAKHAND,2001,316,279,38,74,183,32,3,191,533,1419,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
WEST BENGAL,2001,1594,449,581,709,875,274,421,660,426,14245,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
A & N ISLANDS,2001,13,0,0,3,2,0,0,4,64,65,13,10,8,2,4,118,0,19,1,9,0,0,323,658
CHANDIGARH,2001,15,10,6,18,56,5,0,22,364,1529,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
D & N HAVELI,2001,3,2,0,6,4,0,0,2,34,45,4,13,12,1,1,29,0,7,0,4,0,0,183,350
DAMAN & DIU,2001,7,5,0,0,5,0,0,0,43,40,23,5,9,1,3,21,0,0,0,4,0,0,73,239
LAKSHADWEEP,2001,1,0,0,0,0,0,0,0,1,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
PUDUCHERRY,2001,25,32,1,9,4,1,0,4,111,528,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
ANDHRA PRADESH,2002,2525,1644,165,1002,1302,197,3,648,7628,19222,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,143610
ARUNACHAL PRADESH,2002,61,38,6,38,57,22,0,96,249,395,21,23,29,5,20,401,0,68,2,13,0,0,684,2228
ASSAM,2002,1253,479,55,970,1595,473,18,607,2504,5555,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,36346
BIHAR,2002,3712,3526,396,1040,2361,1289,141,2288,3188,10145,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,94040
CHHATTISGARH,2002,844,453,24,992,178,144,6,326,3731,4302,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,37950
GOA,2002,30,20,4,12,9,5,0,24,376,496,79,27,78,3,25,236,2,18,6,8,0,202,780,2440
GUJARAT,2002,1532,759,13,267,1015,804,12,1098,5327,15742,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,106675
HARYANA,2002,760,487,89,361,427,61,162,330,3048,5962,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,40152
HIMACHAL PRADESH,2002,123,86,6,137,138,0,1,18,710,564,646,75,137,0,145,1476,6,326,12,234,0,482,6921,12243
JAMMU & KASHMIR,2002,1048,1240,31,192,674,42,0,163,1321,2020,996,91,382,20,386,366,18,785,368,54,0,380,9390,19967
JHARKHAND,2002,1488,1143,115,797,468,580,55,780,1419,4374,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439
KARNATAKA,2002,1627,1576,55,292,645,178,66,972,6480,13818,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,113699
KERALA,2002,454,562,210,499,162,137,4,610,4624,5743,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,104200
MADHYA PRADESH,2002,2395,2864,194,2891,964,136,142,1829,13344,20759,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,191799
MAHARASHTRA,2002,2768,1435,93,1352,953,548,271,2136,14471,37606,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,165462
MANIPUR,2002,165,160,3,14,157,3,8,6,44,255,64,28,72,12,48,378,0,58,0,10,0,25,1074,2584
MEGHALAYA,2002,167,58,3,38,52,64,2,109,154,392,9,9,33,8,23,89,0,23,0,0,0,12,419,1664
MIZORAM,2002,29,26,5,76,7,5,0,7,446,999,1,26,85,16,27,112,0,73,0,3,0,13,864,2820
NAGALAND,2002,100,34,5,17,27,21,0,110,128,257,5,10,21,3,6,53,0,1,0,0,0,24,292,1114
ODISHA,2002,1075,1372,58,691,523,246,30,945,2884,5268,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,47728
PUNJAB,2002,733,728,79,299,551,50,83,110,1928,2963,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,28794
RAJASTHAN,2002,1276,2043,68,1051,2587,47,33,734,6661,16313,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,151248
SIKKIM,2002,13,5,2,6,9,0,0,5,66,64,15,3,48,0,2,50,0,17,0,3,0,7,170,485
TAMIL NADU,2002,1723,2133,36,534,1001,176,25,653,5533,18755,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,166942
TRIPURA,2002,201,38,1,108,128,29,0,56,192,270,180,12,20,7,40,518,16,128,0,236,0,46,849,3075
UTTAR PRADESH,2002,6825,6283,1243,1415,3430,552,59,2840,6126,22419,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,146037
UTTARAKHAND,2002,292,249,47,89,198,32,6,177,554,1365,342,145,312,8,40,760,66,145,97,316,1,440,2295,7976
WEST BENGAL,2002,1444,413,540,759,831,204,646,544,348,12449,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,58962
A & N ISLANDS,2002,17,3,1,2,2,1,0,7,49,49,11,4,11,0,2,97,0,17,3,4,0,0,328,608
CHANDIGARH,2002,31,35,7,18,54,1,1,26,336,1647,78,35,181,5,5,107,1,36,28,56,0,7,1111,3806
D & N HAVELI,2002,11,2,0,4,9,3,0,1,38,75,5,12,10,0,2,29,0,3,0,3,0,0,142,349
DAMAN & DIU,2002,8,3,0,0,3,2,0,1,56,56,16,5,10,0,2,18,0,0,0,3,0,0,78,261
LAKSHADWEEP,2002,0,0,0,1,0,0,0,0,9,12,18,0,0,0,2,5,0,1,0,0,0,0,5,53
PUDUCHERRY,2002,29,43,2,6,10,2,0,6,129,526,193,11,31,3,22,1093,5,59,26,9,0,190,2042,4437
ANDHRA PRADESH,2003,2667,1678,147,946,1485,176,5,660,9050,23408,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,156951
ARUNACHAL PRADESH,2003,77,20,3,31,68,37,0,60,253,370,7,28,21,7,10,427,0,43,0,14,0,0,585,2061
ASSAM,2003,1191,485,48,1095,1628,471,26,523,2606,5525,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,38195
BIHAR,2003,3771,3540,298,985,2427,1221,120,2463,2986,10124,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,92263
CHHATTISGARH,2003,776,513,51,898,177,140,14,331,3621,4170,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,38449
GOA,2003,34,25,6,31,14,5,0,21,257,464,47,60,106,3,18,198,2,19,7,24,0,164,739,2244
GUJARAT,2003,1114,478,29,236,1044,338,14,1267,5844,19304,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,103709
