MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,
0.671823751,0.474525487,0.132621293,0.551584142,0.452794106,0.057219827,0.020233435,0.092505066,0.271789915,0.192466725,0.236764112,0.134441154,0.439137138,0.413273989,0.215278503,2,0.780325604,0.594305987,0.553645142,0.549288164,0.080570481,0.69720291,0.239640695,Safe
1.33727125,0.898377165,0.162498475,1.160810268,1.766099084,0.326745138,0.249753038,0.68619546,0.553712833,0.34422633,0.104969854,0.453233057,0.135739353,0.63766012,0.173181941,1.447847124,0,0.726548616,0.040624619,0.057955285,0,0,0.238914024,Moderate
1.394646937,0.517796629,0.137600285,1.825158835,2,0.50179854,0.111029946,0.356415513,0.328879748,0.234615862,0.822775519,0.24817005,0.16522801,0.465713046,0.407279694,1.118444253,0.38669056,0.502828992,0.003440007,0.417586311,0,0.668049311,0.174290347,Moderate
1.585366227,1.534826819,0.358629068,0.82725178,1.216653917,0.50779701,0.486155902,0.476607086,0.165820836,0.144554172,1,0.26364218,0.198796324,0.35886048,0.177780221,0.54693004,2.347744645,0.138638495,0.00753121,0.217392851,1.405358543,0.333468044,1.102570952,Moderate
0.795930473,0.546029514,0.148428794,2.054203756,0.268216153,0.078683436,0.144481418,0.168136834,0.564095916,0.183297433,0.232427056,0.077269982,0.110761335,0.077659906,0.174621788,0.999495586,0.439901965,1,0.13276131,0.269499062,0,0.219572521,1.079205886,Safe
0.472525007,0.508732598,0.270946482,0.422293138,0.191586525,0.104008772,0,0.204312078,0.819237596,0.487203495,0.280656454,0.429652742,0.280647828,0.318966254,0.220085602,0.459892992,0.206488431,0.158417981,0.094831269,0.057980042,0,1,0.432884195,Safe
0.320653506,0.206131174,0.115303488,0.227824219,0.480899218,0.109981785,0.053730507,0.183327985,0.239450898,0.253633184,0.191463981,0.436406963,0.18228336,0.198553941,0.129004564,0.925334764,0.156581919,0.159469792,0.034039062,0.437519917,0,0.346533385,1.536739671,Safe
0.678223328,0.478315047,0.255291858,0.845950011,0.577294794,0.069102141,1.063932864,0.195962688,0.410050274,0.265484878,0.1985403,0.365206903,0.277774615,0.356406254,0.161735526,0.840894789,1.777212824,0.269037179,0.328115498,0.481674457,0,0.270688152,1.078207262,Moderate
0.255740171,0.25892317,0.121352167,0.888373925,0.546052418,0.012099663,0,0.046585783,0.371917783,0,0.561024686,0.132857647,0.134543956,0.064936081,0.396119399,0.837829276,0.210187589,0.588110032,0.038612053,0.340162504,0,0.514819636,1.742311721,Safe
2.185315761,3,0.214626286,0.713797367,1.548283669,0.042799494,0,0.157919357,0.347072096,0.116118936,0.564589816,0.094256269,0.21242333,0.287118688,0.788896403,0,0.161088501,0.695666992,0.468275534,0.031630882,0,0.224331525,1.384102797,Dangerous
2.362347094,1.350986558,0.712876623,1.835611039,0.863626308,0.869348421,0.551661051,0.486433118,0.239620923,0.246811991,0.814809643,0.275439018,0.230698401,0.337448422,0.207276398,0.572830232,2.061058345,0.254610803,0.006231439,0.234690777,0.117682504,0.20229295,0.703149859,Moderate
