STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.16795593770384112,0.15817516247331062,0.06631064666717182,0.18386138057218446,0.22639705291159296,0.028609913609501124,0.010116717279741371,0.04625253277705346,0.2717899145735888,0.19246672456541394,0.2367641117309822,0.1344411543508902,0.4391371376721521,0.1377579964485852,0.10763925132631867,1.0,0.26010853460901145,0.5943059873050742,0.5536451418424531,0.5492881643922326,0.04028524061732097,0.6972029096954525,0.11982034771059102
ARUNACHAL PRADESH,0.33431781247504944,0.2994590551628165,0.08124923752592414,0.3869367559150048,0.8830495418561176,0.1633725690439927,0.1248765190439582,0.34309773002601623,0.5537128334211792,0.34422633009869963,0.1049698538146999,0.4532330568496424,0.13573935281316804,0.21255337318531167,0.08659097038069127,0.7239235619713509,0.0,0.7265486155546719,0.04062461876296207,0.05795528502691701,0.0,0.0,0.1194570119552476
ASSAM,0.34866173415943225,0.17259887640709892,0.06880014255885397,0.6083862782849399,1.0,0.2508992697652743,0.05551497283419614,0.17820775664670294,0.3288797481674932,0.2346158621646626,0.8227755186353699,0.2481700497902675,0.16522800974939458,0.15523768202402582,0.2036398471875923,0.5592221267232905,0.12889685339851462,0.5028289917990316,0.0034400071279426982,0.4175863111553481,0.0,0.6680493112308966,0.08714517343458761
BIHAR,0.3963415567868532,0.5116089397945057,0.1793145338468299,0.2757505933439053,0.6083269585059096,0.2538985048095665,0.2430779509529337,0.2383035430017265,0.16582083643837614,0.14455417154584374,1.0,0.2636421802974788,0.1987963237872117,0.11962016012303238,0.08889011062916019,0.27346501994242817,0.782581548194354,0.1386384952290622,0.007531210421566854,0.2173928507949362,0.7026792714552802,0.3334680440711329,0.5512854757579345
CHHATTISGARH,0.1989826181915711,0.1820098380597368,0.07421439714731448,0.6847345854618498,0.13410807648522158,0.03934171799861685,0.07224070910579891,0.08406841700024589,0.5640959164640436,0.18329743302760668,0.2324270555064706,0.07726998171333746,0.1107613354515104,0.02588663546541861,0.08731089375153953,0.4997477928234909,0.14663398838079256,1.0,0.13276131045241812,0.26949906190080203,0.0,0.2195725211207401,0.5396029430361645
GOA,0.11813125167916776,0.16957753270848194,0.13547324098370664,0.14076437922456467,0.09579326229262156,0.05200438617737596,0.0,0.10215603879611508,0.8192375963710408,0.4872034946101169,0.2806564538127801,0.4296527419384239,0.28064782836228463,0.10632208457923964,0.11004280109714697,0.22994649610101545,0.0688294769405661,0.15841798146580854,0.09483126868859464,0.05798004166298148,0.0,1.0,0.2164420972652593
GUJARAT,0.08016337639772975,0.0687103914451209,0.05765174401498481,0.0759414064507053,0.2404496089510449,0.054990892319433625,0.02686525369815049,0.0916639925894894,0.23945089757728266,0.2536331835916149,0.19146398080175192,0.4364069632949916,0.18228335955969852,0.06618464692174551,0.06450228210636241,0.4626673821611785,0.05219397291453683,0.15946979245835596,0.0340390616258687,0.4375199165211038,0.0,0.34653338482923307,0.7683698357093512
HARYANA,0.16955583207041502,0.1594383488574265,0.12764592924039767,0.2819833369504565,0.2886473969777203,0.03455107067916118,0.5319664319478569,0.0979813440679244,0.4100502736761287,0.265484877678598,0.19854030019707805,0.3652069033503808,0.2777746152008175,0.11880208467710725,0.08086776280144099,0.4204473943467116,0.5924042747825226,0.2690371791056906,0.32811549759871445,0.4816744566247112,0.0,0.2706881522805242,0.5391036311179872
HIMACHAL PRADESH,0.06393504277328453,0.0863077232956249,0.06067608363460177,0.29612464169944874,0.2730262090945629,0.006049831316573472,0.0,0.023292891663649885,0.3719177826282657,0.0,0.5610246858273366,0.13285764690373078,0.13454395566603525,0.02164536046612749,0.19805969969928733,0.41891463805822426,0.07006252957555667,0.5881100317140207,0.03861205322201931,0.34016250407524423,0.0,0.5148196360348202,0.8711558606307334
JAMMU & KASHMIR,0.5463289402136947,1.0,0.10731314315010804,0.23793245573030544,0.7741418347339907,0.021399746826745458,0.0,0.07895967839691273,0.3470720960213408,0.11611893633732615,0.5645898159792297,0.0942562693492267,0.21242333014915807,0.0957062291720072,0.3944482015407655,0.0,0.053696166924692326,0.695666992319697,0.468275533745926,0.03163088194939285,0.0,0.2243315246057193,0.6920513987243418
JHARKHAND,0.5905867734781851,0.4503288528118597,0.3564383115607229,0.6118703464409303,0.4318131537833272,0.4346742106800511,0.27583052550095505,0.2432165592386425,0.2396209229859701,0.2468119914135633,0.8148096434834233,0.27543901784633795,0.2306984014039579,0.1124828074036232,0.10363819900184698,0.2864151160174409,0.6870194482134779,0.2546108033065332,0.00623143901329935,0.23469077735897134,0.05884125175200745,0.20229294970328432,0.3515749294182178
KARNATAKA,0.11302326815127085,0.17890550422680238,0.04302291779605755,0.07375029610003453,0.1276700083188287,0.028375698534921695,0.048252896815863734,0.07426634839794845,0.28917454278898863,0.1652839575435657,0.6295977539837586,0.09185711940340413,0.2601148781109465,0.1494339951236503,0.044133274429267365,0.7812152105564044,0.16246199386757934,0.33293113882935105,0.023546326631626088,0.19849409127613754,0.0,0.011234435555755193,0.6055063644012632
KERALA,0.0013953621316116149,0.0783663522629099,0.06779754281367233,0.14861248552499084,0.04390874282565907,0.029475559752407364,0.018305731021658552,0.04762357979982925,0.20231694368471967,0.0005426596079694536,0.8022103789877284,0.08053579847151479,0.2812267763083958,0.2864170366019239,0.12028679400818915,0.6920974417096831,0.02094670404047474,0.40795497931937824,0.024736941296880442,0.3043006466349661,0.0,0.0,0.8680841064803978
MADHYA PRADESH,0.09620327698548407,0.2089668780815367,0.043625661950640916,0.4307816952610109,0.13106865621212965,0.015885413461107025,0.10459914105271652,0.09284769291541002,0.37837093571371505,0.14906186133073232,0.1916539635320084,0.03947006937542339,0.08238737366904278,0.0130105479776165,0.08711260841411389,0.6090742648137307,0.2699667426733096,0.8477997037933188,0.13105148849972528,0.1739456064297532,0.0,0.2223484366495776,0.7055336294607341
MAHARASHTRA,0.1310808867802732,0.1123635397224034,0.0374126816342978,0.2088028661325246,0.1433318257200044,0.05372934605713889,0.28010706141080177,0.12508121102679934,0.4537588381163501,0.4539524079167842,0.4029835371671952,0.21652341753764476,0.26443372173286345,0.19259868132894944,0.11406194721750325,0.6346088661179351,0.14491359755275698,0.3596502613013865,0.2074366506456116,0.4388509862299331,0.004372210185342,0.6437024680525476,0.08229654678062293
MANIPUR,0.8572762688496558,0.8931673856147512,0.1274177810939563,0.2206571660403816,0.9410156037918193,0.1397489158482892,0.9987612955436224,0.07302207231197111,0.12986666214130854,0.08796932679406612,0.5406522464683438,0.3349477796959888,0.2809897313919514,1.0,0.4548850468376647,0.2554209497367671,0.0,0.18405658749889192,0.0,0.024787479004536258,0.0,0.03446999257465833,0.6260581229480319
MEGHALAYA,1.0,0.3686644376865471,0.07519688373274623,0.4232248916163976,0.8123468014546855,1.0,0.2600422118562093,0.7087945667507569,0.5250583852681063,0.2725685829679001,0.048376421568787464,0.2793774132143565,0.18216054859444275,0.2213100177830468,0.2667193788412941,0.17500042982473266,0.0,0.32328227501957685,0.0,0.029257159569551036,0.0,0.0,0.2312468145396861
MIZORAM,0.1011511145331371,0.08837511221517283,0.14120340923546626,0.6357795121610532,0.022187793314240336,0.023230301750649496,0.0,0.09795881739802714,1.0000000000000002,0.8512636597802276,0.013360199499703974,0.2509156445789895,0.3349808706512201,0.6649154051647372,0.1803864765430941,0.10124875215086776,0.0,0.5050688209050287,0.0,0.08790174210833945,1.0,0.12551225447916714,0.0
NAGALAND,0.8344114633594518,0.4182133754389977,0.4626070849733736,0.3783090221501891,0.4644153269963643,0.15503183010576618,0.0,1.0,0.7002822947799009,0.3942901040087871,0.016290222246782254,0.4170644784393679,0.2919679412697716,0.20170178282009724,0.0,0.05421461690992484,0.0,0.10607011953802778,0.0,0.0,0.0,0.18871502880853985,0.2062142622546942
ODISHA,0.18035785695669604,0.3264147329927279,0.07204548307396512,0.46492830431930604,0.27874708145062405,0.07417240871148492,0.06894556232422047,0.1963979346993796,0.3321341830120943,0.17165968589990552,0.3137778879739399,0.135847107446243,0.15465518332970954,0.026671095775915643,0.15078977400263266,0.3062842045813362,0.5076205270166989,0.7737504662313567,0.31129086082901913,0.3347857123368127,0.0,0.4173860229026313,0.6410774389174801
PUNJAB,0.23875379256925655,0.3759127387864777,0.1826991327963461,0.29463936507129673,0.4602277504335185,0.028178471447374582,0.44226088857348256,0.04511888035377462,0.3444126209158183,0.1423997282767666,0.0,0.3347101351205597,1.0,0.2598869446244689,0.026631306068151585,0.5055649287151661,0.461216228799247,0.2921873948878602,0.053667870258926664,0.5011386746835454,0.0,0.9505507618146016,0.312837339105973
RAJASTHAN,0.039841629626497684,0.1639751416755657,0.025749911396075652,0.18562594803040267,0.4364088807691605,0.006724265583910657,0.03769189130405001,0.05479961026761507,0.22388366241842675,0.14318075128583654,0.7424431089429668,0.1498690121738743,0.4536817332285966,0.07137319972935527,0.11373402161766175,0.6372768874781679,0.1952018779995403,0.4045740440695169,0.011444405064922513,0.4398652794540097,0.00482434943239789,0.3333754831043576,0.5144043042603436
SIKKIM,0.4135541292105847,0.3278371655237327,1.0,0.4947889065536124,0.33671475529583644,0.0,0.0,0.06463440184370417,0.9189217096550204,0.28771335475799265,0.06908546311542475,0.02848900451278517,0.3102642894706993,0.0,0.026338015647226168,0.247786298864333,0.0,0.0,1.0,0.0,0.0,0.1932338097259563,0.4345300829939859
TAMIL NADU,0.06811225999752019,0.18840234300198447,0.007785110284448145,0.07503770495478634,0.1532346760103687,0.017751157338883442,0.0056678084947955785,0.04152608232354727,0.17686558451497264,0.14012737955945212,0.34466571755232045,0.030530398578154323,0.14642270743577715,0.08360927900982552,0.1008369212731184,0.6631848182716393,0.09940437353089536,0.24985724174380794,0.20732977915425066,0.0649637518135761,0.06770843426937381,0.6769559337302873,0.7785489380493708
