,0,1
0,ANDHRA PRADESH,0
1,ARUNACHAL PRADESH,1
2,ASSAM,1
3,BIHAR,1
4,CHHATTISGARH,0
5,GOA,0
6,GUJARAT,0
7,HARYANA,0
8,HIMACHAL PRADESH,0
9,JAMMU & KASHMIR,0
10,JHARKHAND,1
11,KARNATAKA,0
12,KERALA,0
13,MADHYA PRADESH,0
14,MAHARASHTRA,0
15,MANIPUR,1
16,MEGHALAYA,1
17,MIZORAM,0
18,NAGALAND,1
19,ODISHA,0
20,PUNJAB,0
21,RAJASTHAN,0
22,SIKKIM,0
23,TAMIL NADU,0
24,TRIPURA,1
25,UTTAR PRADESH,1
26,UTTARAKHAND,1
27,WEST BENGAL,1
28,A & N ISLANDS,0
29,CHANDIGARH,0
30,D & N HAVELI,1
31,DAMAN & DIU,0
32,LAKSHADWEEP,2
33,PUDUCHERRY,0
