,0,1,
0,ANDHRA PRADESH,0,Safe
1,ARUNACHAL PRADESH,2,Moderate
2,ASSAM,2,Moderate
3,BIHAR,2,Moderate
4,CHHATTISGARH,0,Safe
5,GOA,0,Safe
6,GUJARAT,0,Safe
7,HARYANA,0,Safe
8,HIMACHAL PRADESH,0,Safe
9,JAMMU & KASHMIR,0,Safe
10,JHARKHAND,2,Moderate
11,KARNATAKA,0,Safe
12,KERALA,0,Safe
13,MADHYA PRADESH,0,Safe
14,MAHARASHTRA,0,Safe
15,MANIPUR,1,Dangerous
16,MEGHALAYA,1,Dangerous
17,MIZORAM,2,Moderate
18,NAGALAND,1,Dangerous
19,ODISHA,2,Moderate
20,PUNJAB,2,Moderate
21,RAJASTHAN,0,Safe
22,SIKKIM,2,Moderate
23,TAMIL NADU,0,Safe
24,TRIPURA,2,Moderate
25,UTTAR PRADESH,2,Moderate
26,UTTARAKHAND,2,Moderate
27,WEST BENGAL,2,Moderate
28,A & N ISLANDS,0,Safe
29,CHANDIGARH,0,Safe
30,D & N HAVELI,0,Safe
31,DAMAN & DIU,0,Safe
32,LAKSHADWEEP,0,Safe
33,PUDUCHERRY,0,Safe
